Contributor_login;repository_name;average_issues_comments_length;average_time_to_close_issues;issues_closed;issues_opened;issues_participated;issues_closed_per_day;average_comments_per_issue;early_additions;early_deletions;late_additions;late_deletions;change_bursts;biggest_burst_length;inactive_period_within_active_period;tot_additions;tot_deletions;activity_period_in_days;total_file_additions;total_file_deletions;total_file_modifications;total_file_changes;commits_authored;total_lines_of_code_changed;violations_added;violations_eliminated
iluwatar;iluwatar/java-design-patterns;153.980449658;10.8117008435;382;251;453;0.323728813559;2.2582781457;399;1;0;5287;29;47;0.774006622517;125736;94338;1208;1687;266;6708;9176;951;78555;8618;1355
npathai;iluwatar/java-design-patterns;198.847972973;11.7872058824;34;44;133;0.028813559322;2.22556390977;1;1;31;27;7;12;0.86815920398;14378;8828;402;137;17;547;715;115;11412;1278;232
mikulucky;iluwatar/java-design-patterns;97.5;NA;0;6;8;0.0;1.0;618;135;113;32;2;7;0.631578947368;41066;3976;38;117;17;905;1045;61;4174;479;86
fluxw42;iluwatar/java-design-patterns;290.333333333;0.682222222222;1;9;4;0.000847457627119;1.5;1059;9;1;1;1;10;0.783333333333;9745;954;60;154;1;148;303;58;9232;1099;41
thomasoss;iluwatar/java-design-patterns;259.0;NA;0;3;4;0.0;2.75;0;0;0;0;0;0;100;0;0;0;30;16;299;348;42;2687;240;142
gopinath-langote;iluwatar/java-design-patterns;245.8;NA;0;4;7;0.0;1.42857142857;343;7;57;18;2;4;0.755555555556;4501;5864;45;43;28;95;181;38;920;94;9
markusmo3;iluwatar/java-design-patterns;446.303921569;13.6459156379;27;17;49;0.0228813559322;2.08163265306;74;86;73;62;3;2;0.972927241963;8939;6294;591;147;2;388;538;31;0;0;0
piyushchaudhari04;iluwatar/java-design-patterns;167.142857143;NA;0;1;3;0.0;2.33333333333;84;8;271;9;1;5;0.844827586207;2274;1112;58;60;9;295;365;28;1906;233;9
isabiq;iluwatar/java-design-patterns;423.666666667;NA;0;1;3;0.0;1.0;1211;93;111;87;0;1;0.933333333333;1322;360;30;19;1;33;55;24;1048;156;22
inbravo;iluwatar/java-design-patterns;170.0;NA;0;2;5;0.0;2.2;27;28;8;8;3;2;0.959677419355;3928;4868;248;24;2;55;85;24;4835;409;122
Crossy147;iluwatar/java-design-patterns;153.285714286;NA;0;4;7;0.0;2.0;24;5;274;55;2;4;0.97619047619;37300;11210;420;101;1;625;731;24;712;93;12
joshzambales;iluwatar/java-design-patterns;139.0;5.905;1;2;1;0.000847457627119;2.0;1145;324;51;38;0;1;0.0;1196;724;2;25;0;35;71;23;1102;266;91
kemitix;iluwatar/java-design-patterns;58.5;NA;0;1;2;0.0;2.0;66;0;8;11;0;1;0.911111111111;4048;1036;45;55;0;237;293;18;1253;116;21
genericmethod;iluwatar/java-design-patterns;151.5;NA;0;1;2;0.0;3.0;123;158;234;1;2;4;0.837209302326;12882;4000;43;124;21;245;398;18;7591;842;209
TylerMcConville;iluwatar/java-design-patterns;200.0;NA;0;1;2;0.0;2.0;218;0;611;105;0;1;0.954022988506;25173;2334;87;70;7;273;357;17;1290;191;55
colinbut;iluwatar/java-design-patterns;392.4;NA;0;1;3;0.0;3.33333333333;1018;2;10;14;1;3;0.739130434783;3230;2326;23;42;4;110;164;16;293;0;0
JuhoKang;iluwatar/java-design-patterns;181.666666667;NA;0;2;4;0.0;1.5;94;0;973;108;2;2;0.892307692308;19861;2656;65;33;5;398;436;15;844;70;38
zafarella;iluwatar/java-design-patterns;242.066666667;8.32972222222;1;8;7;0.000847457627119;2.14285714286;1011;65;2;2;2;1;0.954954954955;2000;1596;111;15;2;22;39;14;1187;89;5
m-ezzat;iluwatar/java-design-patterns;56.5;3.03796296296;3;16;2;0.00254237288136;1.0;17;17;36;28;2;6;0.586206896552;356;688;29;0;0;101;101;13;212;0;0
ruslanpa;iluwatar/java-design-patterns;38.0;NA;0;2;1;0.0;2.0;18;36;300;275;1;1;0.4;357;746;5;0;0;30;30;13;730;17;18
4lexis;iluwatar/java-design-patterns;22.5;NA;0;2;2;0.0;1.0;22;0;33;31;1;1;0.84;303;118;25;13;0;19;32;13;172;25;1
iamrichardjones;iluwatar/java-design-patterns;236.0;NA;0;3;2;0.0;2.5;161;113;26;6;1;1;0.625;189;240;8;1;0;10;11;11;309;36;25
gwildor28;iluwatar/java-design-patterns;156.714285714;NA;0;1;2;0.0;7.0;273;34;236;11;2;1;0.857142857143;3379;1128;42;36;2;158;199;11;256;66;0
SrdjanPaunovic;iluwatar/java-design-patterns;34.0;NA;0;1;2;0.0;1.0;281;0;40;26;2;1;0.897435897436;734;174;39;45;0;54;99;11;578;79;6
mafagafogigante;iluwatar/java-design-patterns;177.979591837;NA;0;12;17;0.0;2.88235294118;7;22;9;3;2;1;0.980716253444;336;350;363;0;0;11;11;11;68;1;1
yusufaytas;iluwatar/java-design-patterns;34.0;NA;0;1;1;0.0;3.0;96;5;4;1;1;1;0.0;115;42;3;4;0;10;14;11;89;17;0
qpi;iluwatar/java-design-patterns;236.5;NA;0;1;3;0.0;2.0;93;7;30;9;2;1;0.875;566;134;40;7;0;15;22;10;0;0;0
kapinuss;iluwatar/java-design-patterns;53.0;1.71805555556;1;3;1;0.000847457627119;3.0;0;0;0;0;0;0;100;0;0;0;2;0;9;11;10;0;0;0
ankurkaushal;iluwatar/java-design-patterns;105.0;NA;0;2;1;0.0;1.0;1748;1770;6988;7095;0;1;0.0;8736;17730;2;0;0;413;413;9;16014;260;7
robertt240;iluwatar/java-design-patterns;99.0;NA;0;1;2;0.0;1.5;339;40;0;0;0;1;0.0;339;80;1;7;0;14;21;9;0;0;0
sideris;iluwatar/java-design-patterns;79.6;NA;0;2;1;0.0;5.0;1997;13;80;898;0;1;0.0;2077;1822;2;11;2;11;24;9;177;63;0
amit2103;iluwatar/java-design-patterns;135.538461538;0.314444444444;1;4;10;0.000847457627119;3.9;182;1;5;4;1;2;0.428571428571;3603;1124;7;34;9;149;195;9;2919;400;49
trautonen;iluwatar/java-design-patterns;351.5;NA;0;1;2;0.0;1.0;340;0;367;1;0;1;0.333333333333;707;2;3;14;0;15;29;8;642;148;22
hoswey;iluwatar/java-design-patterns;223.7;3.05866666667;5;12;9;0.00423728813559;1.11111111111;308;0;114;69;2;1;0.882352941176;10095;4168;68;76;2;264;347;8;4977;522;149
llitfkitfk;iluwatar/java-design-patterns;220.0;NA;0;3;4;0.0;2.0;0;0;36;31;0;1;0.909090909091;2786;160;33;25;0;4;29;8;0;0;0
qza;iluwatar/java-design-patterns;24.0;NA;0;1;1;0.0;1.0;70;1;573;124;1;2;0.2;1043;316;5;16;0;17;33;8;279;41;0
pitsios-s;iluwatar/java-design-patterns;142.5;NA;0;3;1;0.0;2.0;825;143;15;0;0;1;0.944444444444;870;308;72;11;2;13;27;8;688;80;7
igeligel;iluwatar/java-design-patterns;253.5;NA;0;1;2;0.0;2.0;475;0;1347;151;0;1;0.857142857143;1867;302;21;25;0;18;43;7;0;0;0
vehpsr;iluwatar/java-design-patterns;859.2;17.2441666667;1;5;4;0.000847457627119;1.25;140;2;399;3;1;1;0.636363636364;845;18;11;26;0;9;35;6;549;113;0
christofferh;iluwatar/java-design-patterns;658.0;NA;0;1;2;0.0;1.0;91;17;101;120;0;1;0.888888888889;192;274;18;0;0;15;15;5;0;0;0
hannespernpeintner;iluwatar/java-design-patterns;202.5;20.6363888889;1;2;3;0.000847457627119;5.33333333333;931;258;737;545;0;1;0.333333333333;1668;1606;3;9;0;18;27;5;2314;99;10
leogtzr;iluwatar/java-design-patterns;148.25;NA;0;1;1;0.0;4.0;14;9;3;5;0;1;0.9;363;704;30;13;13;12;38;5;380;40;40
mookkiah;iluwatar/java-design-patterns;210.0;13.5093055556;2;9;6;0.00169491525424;1.5;6;4;90;37;1;1;0.882352941176;224;234;34;1;0;10;11;5;0;0;0
waisuan;iluwatar/java-design-patterns;197.894736842;11.6533333333;2;4;6;0.00169491525424;3.16666666667;853;12;505;195;0;1;0.6;1358;414;5;21;0;23;52;5;1196;290;1
Alwayswithme;iluwatar/java-design-patterns;83.0;NA;0;1;1;0.0;2.0;7;2;2;1;1;1;0.0;12;18;3;0;0;7;7;4;21;3;2
MSaifAsif;iluwatar/java-design-patterns;79.5;NA;0;2;2;0.0;1.0;297;2;3;3;0;1;0.0;300;10;2;8;0;4;12;4;198;26;0
Tschis;iluwatar/java-design-patterns;211.0;NA;0;2;2;0.0;1.5;69;39;0;0;0;1;0.0;69;78;1;0;0;6;6;4;0;0;0
dmitraver;iluwatar/java-design-patterns;263.0;NA;0;1;2;0.0;2.0;7;0;2;1;0;1;0.8125;14;2;16;0;0;4;4;3;0;0;0
joningiwork;iluwatar/java-design-patterns;NA;NA;0;0;0;0;NA;127;1;1;0;0;1;0.0;128;2;2;6;0;3;9;3;128;19;0
Rzeposlaw;iluwatar/java-design-patterns;88.2;NA;0;1;3;0.0;1.66666666667;449;34;0;0;0;1;0.0;449;68;1;9;0;9;18;3;0;0;0
kirill-vlasov;iluwatar/java-design-patterns;NA;NA;0;3;0;0.0;NA;8;9;30;9;0;1;0.6;38;36;5;0;0;14;14;3;56;0;0
LuigiCortese;iluwatar/java-design-patterns;232.0;NA;0;2;3;0.0;2.0;1;1;70;25;0;1;0.846153846154;71;52;13;0;0;3;3;3;2;0;0
ytian90;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;3721;484;0;0;0;1;0.0;3721;968;1;96;0;457;553;3;2502;232;42
alexsomai;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
Amarnath510;iluwatar/java-design-patterns;273.703703704;NA;0;2;4;0.0;6.75;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
dmitz;iluwatar/java-design-patterns;21.0;NA;0;1;1;0.0;1.0;541;0;3;2;0;1;0.5;544;4;4;6;0;4;10;2;335;61;0
dosdebug;iluwatar/java-design-patterns;189.142857143;NA;0;2;5;0.0;1.4;11;9;0;0;0;1;0.0;11;18;1;0;0;9;9;2;0;0;0
Harshrajsinh;iluwatar/java-design-patterns;NA;NA;0;2;0;0.0;NA;4;2;4;2;0;1;0.6;8;8;5;0;0;2;2;2;0;0;0
Valdar-Soft;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;113;103;0;0;0;1;0.0;113;206;1;0;0;6;6;2;0;0;0
pnowy;iluwatar/java-design-patterns;45.0;NA;0;2;2;0.0;1.0;2;1;0;0;0;1;0.0;2;2;1;0;0;3;3;2;0;0;0
annemsujan;iluwatar/java-design-patterns;61.0;NA;0;1;2;0.0;1.0;18;0;32;20;0;1;0.0;50;40;2;2;1;1;4;2;70;7;3
sumityadav6541;iluwatar/java-design-patterns;25.0;NA;0;1;1;0.0;1.0;1;1;0;0;0;1;0.0;1;2;1;178;12;93;283;2;1104;137;58
tomroy;iluwatar/java-design-patterns;204.5;NA;0;1;2;0.0;1.0;41;24;1;1;0;1;0.333333333333;42;50;3;0;0;3;5;2;22;9;0
yosfik;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;2;2;0;1;0.0;3;6;2;0;0;2;2;2;0;0;0
codinghog;iluwatar/java-design-patterns;192.625;NA;0;3;5;0.0;1.6;3;2;0;0;0;1;0.0;3;4;1;0;0;2;2;2;5;0;0
dzmitryh;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;2;5;0;0;0;1;0.0;2;10;1;0;0;2;2;2;0;0;0
mbirkenkamp;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;9;3;0;0;0;1;0.0;9;6;1;0;0;2;2;2;12;7;0
mortezaadi;iluwatar/java-design-patterns;410.0;NA;0;1;1;0.0;1.0;75;1;11;0;0;1;0.0;86;2;2;2;0;3;5;2;87;13;0
prafful1;iluwatar/java-design-patterns;63.0;NA;0;2;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
protopapa;iluwatar/java-design-patterns;233.636363636;NA;0;1;3;0.0;3.66666666667;1012;0;4;0;0;1;0.5;1016;0;4;22;0;3;25;2;293;0;0
intfloat;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;7;7;0;0;0;1;0.0;7;14;1;0;0;2;2;2;0;0;0
lordmat0;iluwatar/java-design-patterns;NA;NA;0;2;0;0.0;NA;465;507;952;870;0;1;0.0;1417;2754;2;0;0;175;175;2;2794;0;5
noragami;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;5;89;1;1;0;1;0.0;6;180;2;0;0;6;6;2;96;0;5
amitbhoraniya;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
amitdash291;iluwatar/java-design-patterns;149.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
mingliangfeng;iluwatar/java-design-patterns;20.0;NA;0;1;1;0.0;1.0;54;27;0;0;0;1;0.0;54;54;1;0;0;1;1;1;0;0;0
bjurga;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
brandon-d-mckay;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
Deses;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
crowchirp;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;9;9;0;0;0;1;0.0;9;18;1;0;0;7;7;1;0;0;0
fluency03;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
danielsiwiec;iluwatar/java-design-patterns;177.111111111;NA;0;3;5;0.0;1.8;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
rastdeepanshu;iluwatar/java-design-patterns;95.375;NA;0;2;5;0.0;1.6;0;0;0;0;0;0;100;0;0;0;24;8;17;49;1;434;46;0
bellingard;iluwatar/java-design-patterns;16.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
radresian;iluwatar/java-design-patterns;167.0;NA;0;1;2;0.0;1.5;0;0;0;0;0;0;100;0;0;0;8;12;21;43;1;288;33;0
hukacode;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
JaXt0r;iluwatar/java-design-patterns;140.0;NA;0;1;2;0.0;2.0;333;0;0;0;0;1;0.0;333;0;1;6;0;1;7;1;72;13;0
kevelbreh;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
mattbdean;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
mgalushka;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;15;0;0;0;0;1;0.0;15;0;1;0;0;4;4;1;15;3;0
mkobit;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;20;12;0;0;0;1;0.0;20;24;1;0;0;2;2;1;32;0;1
muditporwal;iluwatar/java-design-patterns;161.0;NA;0;1;1;0.0;2.0;575;282;0;0;0;1;0.0;575;564;1;0;0;105;105;1;253;0;21
OCNYang;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;7;7;0;0;0;1;0.0;7;14;1;0;0;2;2;1;0;0;0
legka;iluwatar/java-design-patterns;14.0;NA;0;1;1;0.0;1.0;102;118;0;0;0;1;0.0;102;236;1;0;0;10;12;1;0;0;0
Peter-Morawski;iluwatar/java-design-patterns;459.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
saifulazad;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
simon04;iluwatar/java-design-patterns;NA;NA;0;2;0;0.0;NA;3;0;0;0;0;1;0.0;3;0;1;0;0;3;3;1;0;0;0
sunilmogadati;iluwatar/java-design-patterns;221.0;NA;0;1;1;0.0;2.0;38;35;0;0;0;1;0.0;38;70;1;0;0;7;7;1;0;0;0
gitter-badger;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;2;0;0;0;0;1;0.0;2;0;1;0;0;1;1;1;0;0;0
VarunVats9;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;17;17;0;0;0;1;0.0;17;34;1;0;0;4;4;1;0;0;0
azhuzhu;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
reegnz;iluwatar/java-design-patterns;96.0;NA;0;2;1;0.0;1.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
josejhgjghjghjghjghj;iluwatar/java-design-patterns;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;1;0;1;1;0;0;0
gdiazs;iluwatar/java-design-patterns;179.6;NA;0;1;3;0.0;1.66666666667;295;0;0;0;0;1;0.0;295;0;1;3;0;0;3;1;295;40;0
shaiktaj;iluwatar/java-design-patterns;58.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
slawiko;iluwatar/java-design-patterns;215.875;NA;0;2;2;0.0;4.0;34;34;2;0;0;1;0.714285714286;36;68;7;0;0;1;2;2;0;0;0
tainarareis;iluwatar/java-design-patterns;50.0;NA;0;1;3;0.0;1.0;30;0;0;0;0;1;0.0;30;0;1;0;0;1;1;1;30;0;0
fanofxiaofeng;iluwatar/java-design-patterns;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
JakeWharton;square/retrofit;344.043623044;7.16399617872;1701;454;1811;0.651973936374;1.65819988956;67;26;15;1;54;30;0.81256281407;90380;121524;1990;552;260;3812;5022;865;138468;21910;8190
swankjesse;square/retrofit;109.360774818;6.97887865911;353;29;322;0.135300881564;1.28260869565;144;218;148;17;21;10;0.941649899396;16200;22522;1988;104;59;945;1317;209;30918;7829;1567
pforhan;square/retrofit;110.189189189;5.9118494152;38;9;60;0.0145649674205;1.23333333333;18;2;5;1;7;2;0.963003264418;2568;3482;919;15;7;123;145;48;3606;324;163
eburke;square/retrofit;5.0;0.692777777778;11;2;1;0.00421617477961;1.0;85;3;0;2;4;3;0.965940054496;7342;2762;734;96;19;95;223;36;6100;1186;40
dnkoutso;square/retrofit;165.571428571;5.1366984127;35;1;7;0.0134151015715;1.0;26;3;47;1;4;4;0.975806451613;1556;1382;868;11;1;62;74;26;2126;256;139
edenman;square/retrofit;41.8823529412;3.2260515873;28;15;17;0.0107320812572;1.0;26;19;19;2;3;3;0.974390243902;2405;6656;820;22;42;114;211;24;2874;674;196
loganj;square/retrofit;209.884615385;4.61174382716;18;3;18;0.00689919509391;1.44444444444;41;1;19;10;3;2;0.956228956229;1110;438;297;4;0;52;56;17;1159;239;28
NightlyNexus;square/retrofit;306.294117647;8.88435185185;3;17;40;0.00114986584898;1.275;20;3;28;6;0;1;0.992079207921;59;34;505;1;0;27;28;14;656;108;1
rcdickerson;square/retrofit;65.0;3.51661111111;5;4;2;0.00191644308164;1.0;73;107;15;3;0;1;0.984662576687;1801;1752;652;12;1;39;53;14;2615;198;75
rjrjr;square/retrofit;NA;NA;0;1;0;0.0;NA;91;77;2;2;2;2;0.991337824832;351;352;1039;3;1;44;48;13;471;33;6
kryali;square/retrofit;5.0;3.51845959596;11;0;1;0.00421617477961;1.0;32;25;737;42;0;1;0.97461928934;946;244;197;4;0;60;66;9;974;85;16
adriancole;square/retrofit;289.177339901;13.7027777778;4;20;83;0.00153315446531;2.44578313253;196;4;69;20;0;1;0.98064516129;807;264;310;4;0;58;64;8;905;164;21
holmes;square/retrofit;NA;1.96611111111;7;1;0;0.0026830203143;NA;7;24;11;140;2;1;0.959677419355;254;1306;124;2;6;24;33;7;773;38;71
swanson;square/retrofit;176.571428571;23.2711111111;1;4;10;0.000383288616328;1.4;28;2;19;0;2;2;0.820512820513;124;106;39;0;0;7;7;7;0;0;0
JayNewstrom;square/retrofit;155.666666667;NA;0;7;7;0.0;1.28571428571;1;1;57;45;0;1;0.785714285714;59;94;14;1;0;8;9;6;325;72;2
crazybob;square/retrofit;240.0;23.2677777778;1;1;2;0.000383288616328;1.5;0;0;28;21;0;1;0.988950276243;342;68;362;13;0;8;21;6;140;8;2
Jawnnypoo;square/retrofit;146.076923077;NA;0;6;8;0.0;1.625;3;3;14;2;0;1;0.954545454545;19;12;66;1;1;27;30;6;258;18;36
danrice-square;square/retrofit;5.0;NA;0;3;1;0.0;1.0;3;23;1;1;0;1;0.992788461538;165;90;416;0;0;13;13;5;204;21;2
Turbo87;square/retrofit;86.7894736842;19.7827777778;1;6;9;0.000383288616328;2.11111111111;90;2;9;1;1;1;0.7;165;68;10;0;0;15;15;5;196;20;6
ransombriggs;square/retrofit;336.0;NA;0;4;4;0.0;1.25;27;9;5;5;0;1;0.0;32;28;2;0;0;5;5;4;26;4;0
vanniktech;square/retrofit;55.25;NA;0;5;4;0.0;1.0;1;1;1;1;0;1;0.995943204868;2;4;493;1;0;4;5;4;280;38;7
naturalwarren;square/retrofit;158.9375;7.11041666667;2;6;12;0.000766577232656;1.33333333333;2;2;0;0;0;1;0.0;2;4;1;0;0;6;6;4;58;7;0
guptasourabh04;square/retrofit;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;10;10;4;42;7;27
artem-zinnatullin;square/retrofit;698.205882353;NA;0;7;41;0.0;1.65853658537;2;0;3;3;0;1;0.916666666667;27;12;36;0;0;4;4;3;33;4;0
codebutler;square/retrofit;185.0;NA;0;3;1;0.0;4.0;5;11;96;50;0;1;0.936170212766;103;126;47;0;0;10;10;3;166;11;1
icastell;square/retrofit;684.5;NA;0;2;3;0.0;1.33333333333;65;51;4;4;0;1;0.869565217391;128;240;23;0;0;3;3;3;248;4;0
jjNford;square/retrofit;276.5;3.30222222222;2;6;5;0.000766577232656;1.6;66;35;0;0;0;1;0.0;66;70;1;1;0;11;12;3;101;15;9
f2prateek;square/retrofit;286.615384615;NA;0;5;7;0.0;1.85714285714;1;1;1;2;0;1;0.99511002445;2;6;409;0;0;23;23;3;154;26;1
koalahamlet;square/retrofit;27.0;NA;0;1;1;0.0;1.0;11;1;0;0;0;1;0.0;11;2;1;0;0;3;3;3;0;0;0
alexgyori;square/retrofit;NA;NA;0;2;0;0.0;NA;3;2;3;2;0;1;0.333333333333;6;8;3;0;0;2;2;2;5;1;0
benoitdion;square/retrofit;139.416666667;1.75;1;4;4;0.000383288616328;3.0;32;2;34;4;0;1;0.996960486322;66;12;658;0;0;4;4;2;72;12;0
xian;square/retrofit;NA;NA;0;0;0;0;NA;22;0;0;0;0;1;0.0;22;0;1;0;0;4;4;2;22;6;0
dlew;square/retrofit;302.9;NA;0;4;7;0.0;1.42857142857;6;2;16;22;0;1;0.333333333333;22;48;3;0;0;2;2;2;46;0;3
jaredsburrows;square/retrofit;191.7;NA;0;6;13;0.0;1.53846153846;1;1;0;0;0;1;0.0;1;2;1;0;0;3;3;2;67;16;0
kaiwaldron;square/retrofit;42.0;NA;0;3;1;0.0;1.0;206;0;5;3;0;1;0.0;211;6;2;3;0;3;6;2;163;29;0
larsgrefer;square/retrofit;342.166666667;NA;0;4;3;0.0;2.0;103;89;0;0;0;1;0.0;103;178;1;0;0;2;2;2;0;0;0
lukaciko;square/retrofit;254.0;NA;0;4;3;0.0;1.0;21;7;0;0;0;1;0.0;21;14;1;0;0;8;8;2;55;0;1
matthewmichihara;square/retrofit;191.25;NA;0;3;4;0.0;1.0;6;1;5;0;0;1;0.991803278689;11;2;244;0;0;3;3;2;12;2;0
commonquail;square/retrofit;NA;NA;0;3;0;0.0;NA;2;3;0;0;0;1;0.0;2;6;1;0;0;2;2;2;0;0;0
nbauernfeind;square/retrofit;143.0;NA;0;1;2;0.0;1.0;72;4;0;0;0;1;0.0;72;8;1;0;0;4;4;2;76;18;0
hongrich;square/retrofit;143.0;NA;0;1;1;0.0;1.0;67;6;0;0;0;1;0.0;67;12;1;0;0;4;4;2;73;19;13
PromanSEW;square/retrofit;217.454545455;NA;0;3;6;0.0;1.83333333333;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
SimonScholz;square/retrofit;324.6;NA;0;2;2;0.0;2.5;32;6;3;0;0;1;0.0;35;12;2;0;0;6;6;2;38;5;0
thuss;square/retrofit;NA;NA;0;0;0;0;NA;12;1;0;0;0;1;0.0;12;2;1;0;0;2;2;2;34;5;0
nsk-mironov;square/retrofit;269.4;0.540277777778;1;3;4;0.000383288616328;1.25;3;1;19;1;0;1;0.978494623656;22;4;93;0;0;3;3;2;24;6;2
fabienric;square/retrofit;54.0;NA;0;1;1;0.0;1.0;255;1;2;7;0;1;0.0;257;16;2;3;0;5;8;2;211;38;2
jacobtabak;square/retrofit;499.461538462;NA;0;4;9;0.0;1.44444444444;1;1;1;1;0;1;0.964285714286;2;4;56;0;0;2;2;2;2;0;1
avbk;square/retrofit;114.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;1;0;3;4;1;60;11;3
alokmenghrajani;square/retrofit;NA;NA;0;1;0;0.0;NA;10;0;0;0;0;1;0.0;10;0;1;1;0;0;1;1;0;0;0
amincheloh;square/retrofit;12.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
CaptnBlubber;square/retrofit;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
adavis;square/retrofit;59.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
ArazAbishov;square/retrofit;NA;NA;0;1;0;0.0;NA;2;2;0;0;0;1;0.0;2;4;1;0;0;1;1;1;4;0;0
atermenji;square/retrofit;292.166666667;NA;0;1;3;0.0;2.0;33;0;0;0;0;1;0.0;33;0;1;1;0;0;1;1;33;3;0
ataulm;square/retrofit;279.0;NA;0;1;1;0.0;1.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
austynmahoney;square/retrofit;234.277777778;NA;0;2;8;0.0;2.25;4;2;0;0;0;1;0.0;4;4;1;0;0;2;2;1;6;0;0
hastebrot;square/retrofit;497.888888889;NA;0;3;3;0.0;3.0;0;0;0;0;0;0;100;0;0;0;0;0;2;2;1;40;10;0
BlueRiverInteractive;square/retrofit;31.0;NA;0;1;1;0.0;3.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;48;13;0
bleege;square/retrofit;NA;NA;0;2;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
cnvandev;square/retrofit;5.0;0.158055555556;1;0;1;0.000383288616328;1.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
chrisjenx;square/retrofit;474.285714286;2.88361111111;1;2;6;0.000383288616328;2.33333333333;0;0;0;0;0;0;100;0;0;0;2;0;3;5;1;270;31;6
imminent;square/retrofit;1008.0;NA;0;3;4;0.0;1.75;4;4;0;0;0;1;0.0;4;8;1;0;0;1;1;1;8;4;4
danielchristopher1;square/retrofit;NA;NA;0;4;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
